"mbeanName","attributeName","attributeType","compositeAttributeName"
"java.lang:name=Metaspace,type=MemoryPool","Name","java.lang.String"
"java.lang:name=Metaspace,type=MemoryPool","Type","java.lang.String"
"java.lang:name=Metaspace,type=MemoryPool","Valid","boolean"
"java.lang:name=Metaspace,type=MemoryPool","CollectionUsageThreshold","long"
"java.lang:name=Metaspace,type=MemoryPool","CollectionUsageThresholdCount","long"
"java.lang:name=Metaspace,type=MemoryPool","MemoryManagerNames","[Ljava.lang.String;"
"java.lang:name=Metaspace,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=Metaspace,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=Metaspace,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=Metaspace,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=Metaspace,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=Metaspace,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","init"
"java.lang:name=Metaspace,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","max"
"java.lang:name=Metaspace,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","used"
"java.lang:name=Metaspace,type=MemoryPool","UsageThreshold","long"
"java.lang:name=Metaspace,type=MemoryPool","UsageThresholdCount","long"
"java.lang:name=Metaspace,type=MemoryPool","CollectionUsageThresholdExceeded","boolean"
"java.lang:name=Metaspace,type=MemoryPool","CollectionUsageThresholdSupported","boolean"
"java.lang:name=Metaspace,type=MemoryPool","UsageThresholdExceeded","boolean"
"java.lang:name=Metaspace,type=MemoryPool","UsageThresholdSupported","boolean"
"java.lang:name=Metaspace,type=MemoryPool","ObjectName","javax.management.ObjectName"
"java.lang:name=PS Old Gen,type=MemoryPool","Name","java.lang.String"
"java.lang:name=PS Old Gen,type=MemoryPool","Type","java.lang.String"
"java.lang:name=PS Old Gen,type=MemoryPool","Valid","boolean"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsageThreshold","long"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsageThresholdCount","long"
"java.lang:name=PS Old Gen,type=MemoryPool","MemoryManagerNames","[Ljava.lang.String;"
"java.lang:name=PS Old Gen,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Old Gen,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Old Gen,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Old Gen,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Old Gen,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Old Gen,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Old Gen,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Old Gen,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Old Gen,type=MemoryPool","UsageThreshold","long"
"java.lang:name=PS Old Gen,type=MemoryPool","UsageThresholdCount","long"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsageThresholdExceeded","boolean"
"java.lang:name=PS Old Gen,type=MemoryPool","CollectionUsageThresholdSupported","boolean"
"java.lang:name=PS Old Gen,type=MemoryPool","UsageThresholdExceeded","boolean"
"java.lang:name=PS Old Gen,type=MemoryPool","UsageThresholdSupported","boolean"
"java.lang:name=PS Old Gen,type=MemoryPool","ObjectName","javax.management.ObjectName"
"java.lang:name=PS Scavenge,type=GarbageCollector","LastGcInfo","javax.management.openmbean.CompositeData","GcThreadCount"
"java.lang:name=PS Scavenge,type=GarbageCollector","LastGcInfo","javax.management.openmbean.CompositeData","duration"
"java.lang:name=PS Scavenge,type=GarbageCollector","LastGcInfo","javax.management.openmbean.CompositeData","endTime"
"java.lang:name=PS Scavenge,type=GarbageCollector","LastGcInfo","javax.management.openmbean.CompositeData","id"
